GEO_ID,GEO_ID_TRIMMED,Geographic_Area_Name,Estimate_B27015_001E,Margin of Error Total B27015_001M,"Under $25,000_B27015_002E","Under $25,000_B27015_002M","Under $25,000_B27015_003E_With health insurance coverage","Under $25,000_CoverageRate_With health insurance ",Margin of Error_B27015_003M_With health insurance coverage,"Under $25,000_B27015_004E_With health insurance coverage_With private health insurance","Under $25,000_B27015_004M_With health insurance coverage_With private health insurance","Under $25,000_B27015_005E_With health insurance coverage_With private health insurance","Under $25,000_B27015_005M_With health insurance coverage_With public coverage","Under $25,000_B27015_006E_No health insurance coverage","Under $25,000_B27015_006M_No health insurance coverage","$25,000 to $49,999_B27015_007E","$25,000 to $49,999_B27015_007M","$25,000 to $49,999_B27015_008E_With health insurance coverage","25,000 to $49,999_B27015_008M_With health insurance coverage","$25,000 to $49,999_B27015_009E_With health insurance coverage_With private health insurance","$25,000 to $49,999_B27015_009M_With health insurance coverage_With private health insurance","$25,000 to $49,999_B27015_010E_With health insurance coverage_With public coverage","$25,000 to $49,999_B27015_010M_With health insurance coverage_With public coverage","$25,000 to $49,999_B27015_011E_No health insurance coverage","$25,000 to $49,999_B27015_011M_No health insurance coverage","$50,000 to $74,999_B27015_012E","$50,000 to $74,999_B27015_012M","$50,000 to $74,999_B27015_013E_With health insurance coverage","$50,000 to $74,999_B27015_013M_With health insurance coverage","$50,000 to $74,999_B27015_014E_With health insurance coverage_With private health insurance","$50,000 to $74,999_B27015_014M_With health insurance coverage_With private health insurance","$50,000 to $74,999_B27015_015E_With health insurance coverage_With public coverage","$50,000 to $74,999_B27015_015M_With health insurance coverage_With public coverage","$50,000 to $74,999_B27015_016E_No health insurance coverage","$50,000 to $74,999_B27015_016M_No health insurance coverage"
1400000US42001031203,42001031203,"Census Tract 312.03, Adams County, Pennsylvania",3181,22,227,108,217,0.955947137,108,90,45,190,107,10,10,320,92,313,91,248,87,225,66,7,10,649,153,637,150,537,142,238,69,12,14
1400000US42001031300,42001031300,"Census Tract 313, Adams County, Pennsylvania",4495,35,478,207,417,0.872384937,161,248,101,331,137,61,76,742,263,742,263,516,161,469,236,0,10,1199,340,1053,271,824,216,408,172,146,125
1400000US42001031401,42001031401,"Census Tract 314.01, Adams County, Pennsylvania",3956,147,562,184,535,0.951957295,181,248,132,535,181,27,27,413,113,384,107,266,86,266,80,29,26,511,150,502,149,392,117,333,132,9,14
1400000US42001031402,42001031402,"Census Tract 314.02, Adams County, Pennsylvania",1988,122,74,36,65,0.878378378,32,35,24,60,31,9,10,305,89,281,73,177,53,162,53,24,30,549,167,517,162,383,131,231,102,32,36
1400000US42001031501,42001031501,"Census Tract 315.01, Adams County, Pennsylvania",1224,216,197,76,180,0.913705584,61,62,37,152,52,17,26,411,234,379,217,307,195,106,67,32,36,287,123,202,90,148,86,76,44,85,69
1400000US42001031502,42001031502,"Census Tract 315.02, Adams County, Pennsylvania",3776,249,903,273,749,0.829457364,268,521,239,539,204,154,114,905,298,860,283,526,204,513,216,45,37,504,195,483,196,414,183,170,73,21,24
1400000US42001031600,42001031600,"Census Tract 316, Adams County, Pennsylvania",7209,221,162,49,150,0.925925926,47,95,41,115,45,12,10,889,200,833,191,643,176,547,124,56,33,1112,247,1087,242,865,209,428,140,25,31
1400000US42001031700,42001031700,"Census Tract 317, Adams County, Pennsylvania",2494,160,269,90,259,0.962825279,89,158,52,193,67,10,12,442,88,419,82,306,79,268,55,23,29,553,116,545,115,473,104,177,64,8,9
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",659,134,361,115,356,0.986149584,115,182,103,220,68,5,9,59,41,54,38,42,35,15,14,5,11,138,74,123,71,119,71,18,17,15,21
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",4293,327,659,162,593,0.899848255,150,438,132,289,117,66,70,743,254,663,236,554,233,197,94,80,83,388,151,388,151,346,145,131,72,0,15
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",1194,129,42,35,42,1,35,42,35,7,11,0,10,63,43,54,36,54,36,6,9,9,13,200,74,200,74,200,74,4,13,0,10
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",2013,337,1067,250,1008,0.94470478,240,477,209,834,227,59,60,282,154,282,154,172,78,184,139,0,10,403,213,403,213,341,204,74,82,0,10
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",1167,157,596,144,528,0.88590604,145,370,110,212,100,68,50,303,116,298,114,174,71,159,98,5,9,77,52,77,52,77,52,4,7,0,10
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",1800,230,720,221,705,0.979166667,220,666,223,94,61,15,16,327,109,317,108,288,109,158,83,10,16,190,95,190,95,164,80,94,73,0,10
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",2751,318,1646,400,1609,0.977521264,410,1588,408,107,91,37,33,715,309,691,304,616,278,111,77,24,36,246,279,246,279,246,279,0,10,0,10
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",2183,363,1102,256,1057,0.959165154,256,1000,258,67,61,45,49,405,171,405,171,342,148,103,91,0,10,379,391,379,391,348,354,38,44,0,10
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",3478,419,1793,490,1654,0.922476297,461,1254,420,453,244,139,100,691,280,662,267,607,244,139,98,29,33,417,195,417,195,371,190,93,52,0,10
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",1713,233,759,231,759,1,231,260,124,641,203,0,10,534,159,499,146,384,136,190,90,35,43,188,107,176,101,119,76,80,49,12,19
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",2124,297,532,264,421,0.791353383,169,165,115,375,145,111,163,236,110,236,110,206,88,104,90,0,10,243,153,233,147,176,131,209,138,10,20
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",1348,152,904,158,808,0.89380531,149,204,73,762,159,96,73,330,138,311,135,246,124,123,70,19,23,49,45,49,45,49,45,15,20,0,10
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",1290,173,845,163,836,0.989349112,163,451,126,496,182,9,11,210,84,112,61,56,36,72,44,98,94,112,82,100,77,38,38,68,67,12,18
1400000US42003051100,42003051100,"Census Tract 511, Allegheny County, Pennsylvania",402,188,321,226,321,1,226,160,199,196,171,0,10,81,104,81,104,8,15,81,104,0,10,0,10,0,10,0,10,0,10,0,10
1400000US42003060300,42003060300,"Census Tract 603, Allegheny County, Pennsylvania",2198,228,276,108,258,0.934782609,106,132,64,200,100,18,19,251,116,202,103,194,102,60,39,49,53,328,120,307,118,250,114,90,51,21,22
1400000US42003060500,42003060500,"Census Tract 605, Allegheny County, Pennsylvania",1244,143,207,57,196,0.946859903,56,96,38,142,40,11,12,191,61,182,58,116,45,85,41,9,13,278,123,221,84,182,75,76,48,57,64
1400000US42003070300,42003070300,"Census Tract 703, Allegheny County, Pennsylvania",2056,231,485,185,474,0.977319588,184,425,182,75,44,11,16,251,114,251,114,209,97,77,53,0,10,254,109,254,109,218,94,53,40,0,10
1400000US42003070500,42003070500,"Census Tract 705, Allegheny County, Pennsylvania",3120,255,718,192,634,0.883008357,168,611,164,67,43,84,53,545,218,528,217,509,213,37,30,17,20,456,140,456,140,456,140,0,10,0,10
1400000US42003070600,42003070600,"Census Tract 706, Allegheny County, Pennsylvania",2128,195,316,95,304,0.962025316,98,269,87,58,41,12,19,199,96,199,96,151,82,71,55,0,10,442,158,442,158,418,158,44,41,0,10
1400000US42003070800,42003070800,"Census Tract 708, Allegheny County, Pennsylvania",2540,211,451,129,397,0.880266075,126,373,126,65,55,54,57,438,197,438,197,417,196,40,31,0,10,391,181,335,143,335,143,54,37,56,85
1400000US42003070900,42003070900,"Census Tract 709, Allegheny County, Pennsylvania",3925,353,1346,355,1298,0.964338782,341,1183,337,135,96,48,51,749,230,749,230,612,201,270,149,0,10,400,166,400,166,400,166,20,32,0,10
1400000US42003080200,42003080200,"Census Tract 802, Allegheny County, Pennsylvania",1725,132,241,93,241,1,93,161,64,146,73,0,10,522,146,489,138,381,111,239,105,33,32,321,144,321,144,209,92,144,94,0,10
1400000US42003080400,42003080400,"Census Tract 804, Allegheny County, Pennsylvania",1547,109,524,122,480,0.916030534,119,392,103,141,83,44,37,335,89,296,82,235,68,71,39,39,32,157,66,138,55,120,51,30,21,19,27
1400000US42003080600,42003080600,"Census Tract 806, Allegheny County, Pennsylvania",2065,242,200,82,188,0.94,81,141,59,74,56,12,18,309,96,285,84,272,80,65,43,24,25,484,253,409,169,346,143,75,80,75,120
1400000US42003080700,42003080700,"Census Tract 807, Allegheny County, Pennsylvania",1828,287,479,158,421,0.878914405,136,248,119,192,89,58,58,318,107,304,105,285,100,42,26,14,22,528,316,444,307,376,275,76,59,84,98
1400000US42003080900,42003080900,"Census Tract 809, Allegheny County, Pennsylvania",1847,202,146,54,140,0.95890411,52,94,47,78,38,6,9,375,105,358,102,302,101,66,34,17,18,389,137,383,138,358,133,70,44,6,11
1400000US42003090100,42003090100,"Census Tract 901, Allegheny County, Pennsylvania",1932,175,198,94,178,0.898989899,91,76,43,139,84,20,23,344,108,331,106,275,94,156,65,13,14,310,105,301,103,284,101,41,26,9,10
1400000US42003090200,42003090200,"Census Tract 902, Allegheny County, Pennsylvania",2543,272,269,78,266,0.988847584,77,99,55,215,66,3,6,464,148,437,138,339,113,168,81,27,38,452,179,443,178,414,172,78,49,9,14
1400000US42003090300,42003090300,"Census Tract 903, Allegheny County, Pennsylvania",1631,159,276,69,257,0.93115942,64,119,47,188,69,19,19,444,159,422,156,288,109,189,95,22,18,338,118,313,112,285,104,47,34,25,19
1400000US42003100500,42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",1785,187,247,71,213,0.862348178,62,122,51,167,52,34,35,328,119,320,113,244,88,124,65,8,12,439,213,424,206,409,208,122,65,15,25
1400000US42003101100,42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",2566,221,346,95,249,0.719653179,80,112,57,187,65,97,69,721,390,695,387,571,320,145,86,26,24,562,235,520,229,461,216,108,78,42,44
1400000US42003101400,42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",3077,294,271,124,262,0.966789668,124,90,47,236,115,9,14,665,163,575,141,332,116,335,111,90,68,544,192,516,191,390,124,227,117,28,28
1400000US42003101600,42003101600,"Census Tract 1016, Allegheny County, Pennsylvania",1043,129,397,160,389,0.979848866,159,157,130,232,86,8,11,321,134,302,126,127,55,220,110,19,21,96,97,96,97,96,97,13,16,0,10
1400000US42003101700,42003101700,"Census Tract 1017, Allegheny County, Pennsylvania",1327,232,325,117,287,0.883076923,100,148,67,242,88,38,61,476,235,424,198,351,194,105,78,52,44,99,73,91,71,78,57,19,31,8,11
1400000US42003101800,42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",2621,196,233,121,233,1,121,171,87,156,68,0,10,435,162,405,159,308,123,232,107,30,28,582,203,571,197,471,141,244,127,11,18
1400000US42003110200,42003110200,"Census Tract 1102, Allegheny County, Pennsylvania",3937,305,458,243,438,0.956331878,241,397,238,127,100,20,31,671,219,629,199,526,173,235,151,42,47,402,193,390,189,315,155,137,124,12,19
1400000US42003110600,42003110600,"Census Tract 1106, Allegheny County, Pennsylvania",2379,197,290,109,280,0.965517241,104,178,89,149,77,10,16,169,98,169,98,139,78,110,69,0,10,288,111,288,111,230,103,146,83,0,10
1400000US42003111300,42003111300,"Census Tract 1113, Allegheny County, Pennsylvania",2839,358,752,309,671,0.892287234,298,358,258,361,145,81,48,394,153,384,152,320,117,156,110,10,16,673,311,673,311,539,237,148,119,0,10
1400000US42003111400,42003111400,"Census Tract 1114, Allegheny County, Pennsylvania",1459,148,358,120,319,0.891061453,96,99,55,267,79,39,34,355,125,321,107,234,88,166,86,34,33,243,97,216,92,172,76,49,33,27,32
1400000US42003111500,42003111500,"Census Tract 1115, Allegheny County, Pennsylvania",2695,313,1002,236,945,0.943113772,230,272,100,750,223,57,53,973,286,898,278,611,195,409,216,75,82,219,94,219,94,203,83,55,42,0,10
1400000US42003120300,42003120300,"Census Tract 1203, Allegheny County, Pennsylvania",2098,574,679,245,652,0.960235641,226,171,59,603,217,27,26,186,73,158,58,66,31,143,57,28,31,323,207,292,207,261,203,52,33,31,42
1400000US42003120400,42003120400,"Census Tract 1204, Allegheny County, Pennsylvania",705,137,442,141,384,0.868778281,132,119,69,293,144,58,42,198,104,198,104,184,98,51,39,0,10,34,29,34,29,34,29,15,15,0,10
1400000US42003120700,42003120700,"Census Tract 1207, Allegheny County, Pennsylvania",864,219,638,262,638,1,262,269,210,503,141,0,10,128,76,128,76,71,58,83,64,0,10,86,68,77,66,61,63,21,15,9,11
1400000US42003120800,42003120800,"Census Tract 1208, Allegheny County, Pennsylvania",659,91,267,111,220,0.823970037,114,123,103,121,58,47,33,162,72,157,72,16,12,151,73,5,7,71,86,63,80,34,74,48,50,8,16
1400000US42003130100,42003130100,"Census Tract 1301, Allegheny County, Pennsylvania",1702,383,909,351,827,0.909790979,338,164,106,758,334,82,88,562,383,541,390,205,233,376,258,21,38,211,146,211,146,186,141,31,30,0,10
1400000US42003130200,42003130200,"Census Tract 1302, Allegheny County, Pennsylvania",1422,343,510,218,452,0.88627451,233,147,151,334,137,58,52,571,313,487,280,142,90,374,237,84,68,108,88,73,53,55,47,28,31,35,42
1400000US42003130300,42003130300,"Census Tract 1303, Allegheny County, Pennsylvania",1211,250,748,176,712,0.951871658,178,170,76,689,177,36,46,304,199,279,201,224,163,124,60,25,17,32,32,32,32,8,11,32,32,0,10
1400000US42003130400,42003130400,"Census Tract 1304, Allegheny County, Pennsylvania",940,189,453,132,332,0.732891832,123,39,33,332,123,121,111,298,161,298,161,81,57,231,140,0,10,149,106,149,106,129,97,34,31,0,10
1400000US42003130600,42003130600,"Census Tract 1306, Allegheny County, Pennsylvania",2969,478,884,225,838,0.947963801,219,91,69,785,218,46,40,321,145,321,145,149,86,211,119,0,10,898,622,712,547,524,442,297,228,186,188
1400000US42003140100,42003140100,"Census Tract 1401, Allegheny County, Pennsylvania",2350,228,188,105,178,0.946808511,96,155,87,50,35,10,15,375,209,375,209,272,172,135,86,0,15,169,149,160,146,141,140,81,86,9,14
1400000US42003140200,42003140200,"Census Tract 1402, Allegheny County, Pennsylvania",2083,149,433,113,420,0.969976905,110,420,110,36,44,13,20,292,124,292,124,232,116,75,59,0,10,194,103,194,103,159,73,65,77,0,10
1400000US42003140300,42003140300,"Census Tract 1403, Allegheny County, Pennsylvania",3422,326,307,140,231,0.752442997,98,212,97,30,28,76,83,211,107,211,107,201,105,109,58,0,10,285,143,285,143,193,100,158,101,0,10
1400000US42003140400,42003140400,"Census Tract 1404, Allegheny County, Pennsylvania",2319,105,122,61,109,0.893442623,59,73,49,55,38,13,14,153,57,152,58,150,59,58,38,1,4,153,72,147,66,129,62,55,32,6,9
1400000US42003140500,42003140500,"Census Tract 1405, Allegheny County, Pennsylvania",1848,197,249,147,199,0.799196787,103,170,95,48,39,50,60,230,112,192,96,192,96,72,59,38,45,434,178,414,166,246,97,200,92,20,32
1400000US42003140600,42003140600,"Census Tract 1406, Allegheny County, Pennsylvania",3126,207,249,115,240,0.963855422,111,168,98,95,63,9,16,335,174,310,142,225,83,132,107,25,40,351,160,320,144,238,122,135,64,31,47
1400000US42003140800,42003140800,"Census Tract 1408, Allegheny County, Pennsylvania",4473,287,807,279,783,0.970260223,274,697,266,216,86,24,28,477,208,399,185,279,131,184,134,78,91,485,195,485,195,326,132,198,148,0,10
1400000US42003141000,42003141000,"Census Tract 1410, Allegheny County, Pennsylvania",953,88,18,15,18,1,15,11,12,18,15,0,10,77,53,77,53,47,32,51,36,0,10,127,57,127,57,112,52,30,23,0,10
1400000US42003141100,42003141100,"Census Tract 1411, Allegheny County, Pennsylvania",1295,82,129,60,116,0.899224806,56,46,22,108,54,13,20,274,126,269,126,137,55,180,116,5,8,145,60,145,60,100,49,79,37,0,10
1400000US42003141300,42003141300,"Census Tract 1413, Allegheny County, Pennsylvania",4849,354,988,263,971,0.982793522,256,822,241,307,127,17,27,1072,343,1058,339,723,239,597,268,14,24,410,199,410,199,375,189,73,60,0,15
1400000US42003141400,42003141400,"Census Tract 1414, Allegheny County, Pennsylvania",5004,420,847,232,779,0.919716647,222,572,191,404,121,68,60,408,157,397,157,326,147,133,80,11,17,571,208,523,180,459,170,137,83,48,64
1400000US42003151600,42003151600,"Census Tract 1516, Allegheny County, Pennsylvania",2576,191,217,107,217,1,107,118,73,166,86,0,10,466,147,435,148,275,104,317,122,31,35,416,150,390,134,353,122,78,66,26,31
1400000US42003151700,42003151700,"Census Tract 1517, Allegheny County, Pennsylvania",5477,313,647,224,634,0.979907264,223,325,169,464,169,13,21,837,291,688,259,527,218,392,169,149,112,926,406,750,305,695,280,130,101,176,233
1400000US42003160800,42003160800,"Census Tract 1608, Allegheny County, Pennsylvania",2565,330,586,190,495,0.844709898,165,143,57,404,159,91,82,674,245,636,238,354,120,382,221,38,36,415,173,398,172,365,159,105,78,17,28
1400000US42003160900,42003160900,"Census Tract 1609, Allegheny County, Pennsylvania",2938,297,740,161,710,0.959459459,160,346,131,553,144,30,36,203,98,203,98,170,91,62,40,0,10,312,164,275,151,171,82,109,119,37,43
1400000US42003170200,42003170200,"Census Tract 1702, Allegheny County, Pennsylvania",3720,569,1027,336,970,0.944498539,332,812,310,222,105,57,70,678,357,647,349,636,348,138,108,31,43,511,321,414,232,349,200,65,94,97,113
1400000US42003170600,42003170600,"Census Tract 1706, Allegheny County, Pennsylvania",1694,236,271,101,242,0.89298893,96,135,69,165,87,29,31,305,112,300,111,232,92,104,46,5,8,376,197,348,183,239,124,122,126,28,31
1400000US42003180300,42003180300,"Census Tract 1803, Allegheny County, Pennsylvania",2038,359,442,190,438,0.990950226,189,127,79,365,179,4,8,572,250,510,240,342,199,175,117,62,95,581,336,562,313,387,217,256,221,19,35
1400000US42003180700,42003180700,"Census Tract 1807, Allegheny County, Pennsylvania",1972,208,351,128,345,0.982905983,128,113,41,298,128,6,8,582,199,534,189,252,81,383,190,48,43,263,104,230,86,202,75,44,44,33,53
1400000US42003190300,42003190300,"Census Tract 1903, Allegheny County, Pennsylvania",1804,161,163,71,163,1,71,130,64,87,49,0,10,461,186,328,165,322,161,156,102,133,80,262,128,220,100,211,96,68,49,42,43
1400000US42003191100,42003191100,"Census Tract 1911, Allegheny County, Pennsylvania",2438,224,432,129,409,0.946759259,127,210,83,325,128,23,39,393,104,383,104,252,84,191,88,10,15,281,110,281,110,264,103,25,29,0,10
1400000US42003191400,42003191400,"Census Tract 1914, Allegheny County, Pennsylvania",2452,297,421,165,376,0.893111639,150,141,67,302,149,45,49,515,225,507,224,382,192,183,139,8,13,425,190,370,168,346,161,90,50,55,83
1400000US42003191500,42003191500,"Census Tract 1915, Allegheny County, Pennsylvania",1922,252,266,104,245,0.921052632,97,113,71,158,80,21,33,418,170,401,167,324,151,144,105,17,21,643,195,614,191,463,126,450,189,29,30
1400000US42003191600,42003191600,"Census Tract 1916, Allegheny County, Pennsylvania",4172,381,442,184,399,0.902714932,164,224,138,290,102,43,63,937,257,818,231,613,189,424,174,119,80,826,325,817,325,600,224,319,199,9,14
1400000US42003191700,42003191700,"Census Tract 1917, Allegheny County, Pennsylvania",3411,200,383,169,301,0.785900783,105,200,86,215,80,82,99,466,165,448,164,282,121,256,128,18,19,526,160,466,153,376,110,188,90,60,51
1400000US42003191800,42003191800,"Census Tract 1918, Allegheny County, Pennsylvania",5136,415,691,339,676,0.97829233,338,286,125,591,308,15,26,1135,442,906,342,684,296,528,236,229,237,1352,484,1352,484,1106,402,480,221,0,15
1400000US42003191900,42003191900,"Census Tract 1919, Allegheny County, Pennsylvania",2038,206,115,59,89,0.773913043,46,43,29,80,44,26,33,555,162,541,155,451,141,180,71,14,21,467,175,442,174,285,120,196,148,25,28
1400000US42003192000,42003192000,"Census Tract 1920, Allegheny County, Pennsylvania",3471,328,519,193,438,0.843930636,160,291,89,327,134,81,70,843,293,802,288,595,221,401,185,41,41,665,237,629,229,441,141,338,201,36,39
1400000US42003202200,42003202200,"Census Tract 2022, Allegheny County, Pennsylvania",3102,551,1055,656,984,0.932701422,659,256,170,886,648,71,77,583,314,561,306,270,125,380,226,22,26,706,271,694,277,583,233,418,272,12,20
1400000US42003202300,42003202300,"Census Tract 2023, Allegheny County, Pennsylvania",3632,431,348,176,338,0.971264368,176,191,106,251,140,10,18,704,214,686,211,534,180,315,144,18,30,815,344,815,344,716,278,185,142,0,10
1400000US42003210700,42003210700,"Census Tract 2107, Allegheny County, Pennsylvania",2216,277,559,155,559,1,155,229,105,488,151,0,10,369,139,327,120,196,98,205,83,42,39,540,255,456,220,310,133,223,166,84,85
1400000US42003220600,42003220600,"Census Tract 2206, Allegheny County, Pennsylvania",1736,125,400,130,357,0.8925,96,77,34,329,93,43,44,280,101,221,86,132,59,115,60,59,49,166,70,157,66,147,64,27,25,9,14
1400000US42003240600,42003240600,"Census Tract 2406, Allegheny County, Pennsylvania",2321,293,426,154,403,0.94600939,146,248,108,266,105,23,27,396,143,309,105,250,91,88,57,87,76,258,111,258,111,212,85,107,78,0,10
1400000US42003241200,42003241200,"Census Tract 2412, Allegheny County, Pennsylvania",721,70,174,49,161,0.925287356,50,39,23,150,50,13,15,193,67,193,67,98,48,135,52,0,10,205,79,205,79,176,74,67,53,0,10
1400000US42003250300,42003250300,"Census Tract 2503, Allegheny County, Pennsylvania",1134,139,324,100,312,0.962962963,98,42,31,278,90,12,18,225,98,225,98,109,64,177,94,0,10,110,78,110,78,97,70,13,19,0,10
1400000US42003250700,42003250700,"Census Tract 2507, Allegheny County, Pennsylvania",561,109,266,115,266,1,115,21,18,266,115,0,10,150,83,125,64,80,39,54,39,25,26,47,54,33,33,27,25,9,11,14,22
1400000US42003250900,42003250900,"Census Tract 2509, Allegheny County, Pennsylvania",1026,136,396,141,332,0.838383838,141,131,121,302,140,64,56,390,141,390,141,198,87,244,89,0,10,70,60,60,54,36,34,53,47,10,15
1400000US42003260200,42003260200,"Census Tract 2602, Allegheny County, Pennsylvania",1999,162,413,194,390,0.944309927,182,87,61,336,187,23,37,551,203,475,196,249,96,291,171,76,57,263,94,259,91,215,79,60,50,4,12
1400000US42003260700,42003260700,"Census Tract 2607, Allegheny County, Pennsylvania",1514,151,112,58,103,0.919642857,51,39,31,84,43,9,14,295,119,288,116,222,99,130,70,7,11,279,113,253,108,226,98,63,42,26,30
1400000US42003260900,42003260900,"Census Tract 2609, Allegheny County, Pennsylvania",1698,335,1219,411,1104,0.905660377,437,114,82,1082,441,115,138,301,241,179,179,114,135,65,59,122,114,143,148,143,148,70,112,130,133,0,10
